date,stock_id,price
2023-12-13,3,1432.65
2023-12-12,3,1467.5
2023-12-11,3,1485.1
2023-12-08,3,1466.35
2023-12-07,3,1462
2023-12-06,3,1451.2
2023-12-05,3,1442.2
2023-12-04,3,1449.35
2023-12-01,3,1446.05
2023-11-30,3,1449.9
2023-11-29,3,1448.25
2023-11-28,3,1427.5
2023-11-24,3,1433.65
2023-11-23,3,1448
2023-11-22,3,1431.05
2023-11-21,3,1436.4
2023-11-20,3,1433.2
2023-11-17,3,1434.75
2023-11-16,3,1410.3
2023-11-15,3,1386.05
2023-11-13,3,1370.7
2023-11-10,3,1361.2
2023-11-09,3,1370.3
2023-11-08,3,1386.75
2023-11-07,3,1395.3
2023-11-06,3,1390.55
2023-11-03,3,1375.1
2023-11-02,3,1361.6
2023-11-01,3,1352
2023-10-31,3,1362.7
2023-10-30,3,1362.9
2023-10-27,3,1364.9
2023-10-26,3,1353.85
2023-10-25,3,1362
2023-10-23,3,1405.35
2023-10-20,3,1424.8
2023-10-19,3,1421
2023-10-18,3,1438.15
2023-10-17,3,1438.2
2023-10-16,3,1431
2023-10-13,3,1402.1
2023-10-12,3,1452
2023-10-11,3,1481.6
2023-10-10,3,1469
2023-10-09,3,1459.05
2023-10-06,3,1463.5
2023-10-05,3,1452.1
2023-10-04,3,1418.4
2023-10-03,3,1420.5
2023-09-29,3,1416
2023-09-28,3,1435.2
2023-09-27,3,1450
2023-09-26,3,1458.7
2023-09-25,3,1471.65
2023-09-22,3,1485.9
2023-09-21,3,1476.1
2023-09-20,3,1477.35
2023-09-18,3,1485
2023-09-15,3,1509.1
2023-09-14,3,1499.55
2023-09-13,3,1488.5
2023-09-12,3,1477.55
2023-09-11,3,1464.15
2023-09-08,3,1460.15
2023-09-07,3,1462.2
2023-09-06,3,1463.7
2023-09-05,3,1456.85
2023-09-04,3,1435.35
2023-09-01,3,1427.45
2023-08-31,3,1429.2
2023-08-30,3,1419.25
2023-08-29,3,1415.2
2023-08-28,3,1411.5
2023-08-25,3,1411.6
2023-08-24,3,1414.4
2023-08-23,3,1405.1
2023-08-22,3,1396.45
2023-08-21,3,1388
2023-08-18,3,1386
2023-08-17,3,1406
2023-08-16,3,1405
2023-08-14,3,1365.2
2023-08-11,3,1367.2
2023-08-10,3,1385.8
2023-08-09,3,1382.2
2023-08-08,3,1384.6
2023-08-07,3,1376.5
2023-08-04,3,1362.9
2023-08-03,3,1348.1
2023-08-02,3,1340.35
2023-08-01,3,1340.35
2023-07-31,3,1340.35
2023-07-28,3,1335.55
2023-07-27,3,1348.85
2023-07-26,3,1339.2
2023-07-25,3,1337.25
2023-07-24,3,1334.15
2023-07-21,3,1311.6
2023-07-20,3,1440.85
2023-07-19,3,1460.95
2023-07-18,3,1422.75
2023-07-17,3,1414.25
2023-07-14,3,1379
2023-07-13,3,1329.1
2023-07-12,3,1329.1
2023-07-11,3,1329.1
2023-07-10,3,1319.15
2023-07-07,3,1325.15
2023-07-06,3,1335.2
2023-07-05,3,1335.2
2023-07-04,3,1335.2
2023-07-03,3,1335.2
2023-06-30,3,1303
2023-06-29,3,1278.95
2023-06-28,3,1281.4
2023-06-27,3,1274.55
2023-06-26,3,1262.3
2023-06-23,3,1263.6
2023-06-22,3,1273.35
2023-06-21,3,1295.1
2023-06-20,3,1291
2023-06-19,3,1287.2
2023-06-16,3,1281.15
2023-06-15,3,1283.15
2023-06-14,3,1293.05
2023-06-13,3,1297.25
